Quarter,Postal code,One-room flat,Two-room flat,Three-room flat+,Terraced houses
2010Q3,00720 Pukinmäki-Savela   (Helsinki ),..,2689,2584,..
2010Q3,00730 Tapanila   (Helsinki ),..,2911,..,3177
2010Q3,00740 Siltamäki   (Helsinki ),..,..,..,2682
2010Q3,00750 Puistola   (Helsinki ),..,..,..,3047
2010Q3,00760 Suurmetsä   (Helsinki ),..,..,..,2839
2010Q3,00770 Jakomäki - Alppikylä   (Helsinki ),..,..,..,..
2010Q3,00780 Tapaninvainio   (Helsinki ),..,..,..,..
2010Q3,00790 Viikki   (Helsinki ),..,..,3583,..
2010Q3,00800 Länsi-Herttoniemi   (Helsinki ),..,3119,3128,..
2010Q3,00810 Herttoniemi   (Helsinki ),..,3665,4244,..
2010Q3,00820 Roihuvuori   (Helsinki ),..,..,2484,..
2010Q3,00830 Tammisalo   (Helsinki ),..,..,..,..
2010Q3,00840 Laajasalo   (Helsinki ),..,..,2810,3169
2010Q3,00850 Jollas   (Helsinki ),..,..,..,..
